sexe;id_client;formation;usage_vehicule;type_vehicule;est_rouge;type_conduite;etat_dossier;formule;Année_naissance;Présence_enft_cond_accomp;Présence_enfants;Cat_revenus;Cat_valeur_res_princ;Cat_points_perdus;Cat_age_veh;Année date_demande;Cat_Tarif_devis
F;1F58EC6C-AFED;Masters;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_integral;1932;non;oui;60-80k€;200-400K€;_0;sup 15;2022;250_500
F;070C122D-0F1F;z_High School;Commercial;Pickup;yes;Highly Urban/ Urban;complet;dev_integral;2000;non;oui;40-60k€;_0;_0;0_5;2022;250_500
F;7A7C1D2F-3342;Masters;Commercial;Panel Truck;no;Highly Urban/ Urban;complet;dev_integral;1967;non;non;sup 100k€;200-400K€;0_3;;2022;250_500
F;EB513C39-48A8;z_High School;Commercial;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1950;non;non;20-40k€;100-200K€;0_3;10_15;2022;250_500
M;2A082883-EC1E;Bachelors;Private;Pickup;yes;Highly Urban/ Urban;complet;dev_express;1984;non;oui;60-80k€;200-400K€;0_3;10_15;2022;250_500
F;FEFD2523-238D;z_High School;Commercial;Minivan;no;Highly Urban/ Urban;complet;dev_integral;1994;non;non;0-20k€;100-200K€;0_3;0_5;2022;250_500
M;7E975BC4-0683;Bachelors;Commercial;Minivan;no;z_Highly Rural/ Rural;complet;dev_integral;1967;non;non;80-100k€;200-400K€;_0;10_15;2022;250_500
F;8690A4AC-E452;PhD;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_integral;1973;non;oui;60-80k€;100-200K€;_0;sup 15;2022;250_500
M;D991BB80-BD38;z_High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1970;non;non;0-20k€;_0;0_3;0_5;2022;250_500
M;EADA549A-6121;Masters;Commercial;Pickup;no;Highly Urban/ Urban;complet;dev_integral;1947;non;non;sup 100k€;200-400K€;3_6;;2022;250_500
F;F1ECC40D-B893;z_High School;Commercial;Van;no;Highly Urban/ Urban;complet;dev_express;1965;non;non;0-20k€;_0;_0;10_15;2022;250_500
M;A40E7AAD-B312;Masters;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_express;1993;non;non;;_0;_0;sup 15;2022;250_500
M;E8B3A896-0FDD;z_High School;Private;z_SUV;no;z_Highly Rural/ Rural;complet;dev_integral;1960;non;oui;0-20k€;100-200K€;_0;0_5;2022;250_500
F;6E5CD65B-71E4;z_High School;Commercial;Van;yes;Highly Urban/ Urban;complet;dev_premium;1968;non;oui;40-60k€;100-200K€;_0;5_10;2022;500_750
F;2320FE4D-3A6E;Bachelors;Commercial;Pickup;no;Highly Urban/ Urban;complet;dev_express;1941;non;non;60-80k€;200-400K€;0_3;;2022;250_500
F;F6EBFCB3-0D5C;z_High School;Commercial;Van;no;z_Highly Rural/ Rural;complet;dev_express;1998;oui;oui;20-40k€;200-400K€;0_3;5_10;2022;250_500
M;38737251-55AA;Bachelors;Commercial;Panel Truck;yes;z_Highly Rural/ Rural;complet;dev_integral;1970;non;non;sup 100k€;sup 400K€;_0;10_15;2022;250_500
F;AF9038E9-9CCE;PhD;Private;Van;yes;Highly Urban/ Urban;complet;dev_premium;1938;non;non;sup 100k€;_0;_0;5_10;2022;250_500
F;826305C7-FAD1;z_High School;Private;Pickup;yes;Highly Urban/ Urban;complet;dev_express;1955;non;non;0-20k€;100-200K€;0_3;0_5;2022;250_500
M;28D500AD-DF01;z_High School;Commercial;z_SUV;no;Highly Urban/ Urban;complet;dev_premium;2000;oui;oui;40-60k€;200-400K€;3_6;0_5;2022;250_500
F;81BEE3ED-840D;<High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1957;non;non;20-40k€;;_0;0_5;2022;250_500
F;87C5069E-6A31;Masters;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;2003;non;oui;0-20k€;0-100K€;_0;5_10;2022;250_500
F;BC84082A-8EBF;<High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_premium;1953;non;non;0-20k€;100-200K€;_0;0_5;2022;250_500
F;E840B285-F71E;Bachelors;Private;Minivan;no;Highly Urban/ Urban;complet;dev_vip;2012;non;non;80-100k€;_0;_0;10_15;2022;500_750
M;6182F45E-1869;Masters;Commercial;Van;yes;Highly Urban/ Urban;complet;dev_express;1975;non;non;60-80k€;_0;3_6;;2022;250_500
M;2FFF1AC4-A65B;z_High School;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_premium;2017;non;non;20-40k€;100-200K€;0_3;0_5;2022;250_500
F;0F39EC24-12A6;Masters;Private;Sports Car;no;z_Highly Rural/ Rural;complet;dev_integral;1956;non;non;sup 100k€;200-400K€;_0;5_10;2022;250_500
F;F25F35A3-141C;z_High School;Commercial;Panel Truck;no;Highly Urban/ Urban;complet;dev_premium;1995;non;non;40-60k€;100-200K€;0_3;0_5;2022;250_500
F;5063F169-B957;Masters;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1972;non;non;sup 100k€;sup 400K€;_0;10_15;2022;250_500
F;B800D3EC-F9BD;Bachelors;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_premium;1957;non;oui;40-60k€;200-400K€;0_3;5_10;2022;250_500
F;5A99D52E-3081;PhD;Private;Minivan;no;Highly Urban/ Urban;complet;dev_express;1969;non;oui;40-60k€;_0;3_6;sup 15;2022;250_500
M;7F451348-0E8F;Bachelors;Commercial;Panel Truck;no;Highly Urban/ Urban;complet;dev_express;1939;non;non;sup 100k€;200-400K€;0_3;10_15;2022;250_500
F;26F5E02E-181B;<High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1974;non;oui;20-40k€;100-200K€;_0;0_5;2022;250_500
F;13D095F2-813D;z_High School;Commercial;Minivan;no;z_Highly Rural/ Rural;complet;dev_express;1957;non;non;20-40k€;100-200K€;_0;;2022;250_500
M;BA0479DF-C37F;z_High School;Private;Sports Car;yes;Highly Urban/ Urban;complet;dev_express;2008;non;non;40-60k€;0-100K€;6_9;5_10;2022;250_500
M;BE8F4F90-783D;z_High School;Commercial;Pickup;yes;Highly Urban/ Urban;complet;dev_integral;1951;non;non;60-80k€;200-400K€;3_6;5_10;2022;250_500
M;F6FED443-7523;z_High School;Commercial;Minivan;yes;Highly Urban/ Urban;complet;dev_premium;1960;oui;oui;40-60k€;100-200K€;_0;0_5;2022;250_500
F;0720712D-84FF;Bachelors;Commercial;z_SUV;no;z_Highly Rural/ Rural;complet;dev_premium;1946;non;non;40-60k€;200-400K€;0_3;10_15;2022;500_750
M;0D7DEF57-A4BC;z_High School;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_express;1940;non;oui;20-40k€;100-200K€;0_3;5_10;2022;250_500
M;E251E9EF-AA2C;z_High School;Commercial;Minivan;yes;Highly Urban/ Urban;complet;dev_express;1972;non;non;40-60k€;_0;_0;0_5;2022;250_500
M;7F9A2E19-7992;Bachelors;Commercial;Minivan;yes;Highly Urban/ Urban;complet;dev_integral;1941;non;non;60-80k€;;3_6;;2022;250_500
M;A6E88BF6-24EA;Bachelors;Private;Minivan;no;z_Highly Rural/ Rural;complet;dev_express;1964;non;non;20-40k€;_0;_0;10_15;2022;250_500
M;8E520700-8988;z_High School;Commercial;Panel Truck;yes;Highly Urban/ Urban;complet;dev_premium;1961;oui;oui;20-40k€;100-200K€;0_3;5_10;2022;500_750
F;AA703FE4-9E86;<High School;Private;z_SUV;no;z_Highly Rural/ Rural;complet;dev_integral;1971;non;oui;20-40k€;100-200K€;_0;0_5;2022;250_500
F;F1E26CCA-072E;Bachelors;Private;Minivan;no;z_Highly Rural/ Rural;complet;dev_integral;2004;oui;oui;40-60k€;100-200K€;0_3;5_10;2022;250_500
F;B7081EC9-780B;PhD;Commercial;Panel Truck;yes;Highly Urban/ Urban;complet;dev_express;1974;non;non;sup 100k€;200-400K€;0_3;sup 15;2022;250_500
F;7654C1AD-E097;PhD;Private;z_SUV;yes;Highly Urban/ Urban;complet;dev_integral;1960;non;non;40-60k€;_0;0_3;;2022;250_500
F;34D5FD60-4868;Bachelors;Commercial;Van;no;Highly Urban/ Urban;complet;dev_express;1973;non;non;40-60k€;200-400K€;0_3;0_5;2022;250_500
M;2723064D-E5F4;z_High School;Commercial;Van;no;Highly Urban/ Urban;complet;dev_integral;1966;non;oui;40-60k€;100-200K€;3_6;;2022;250_500
M;922AD705-1B7F;Masters;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_premium;1959;non;non;sup 100k€;200-400K€;_0;10_15;2022;500_750
F;78D5BF3B-7291;z_High School;Private;Pickup;yes;Highly Urban/ Urban;complet;dev_express;1970;non;oui;20-40k€;100-200K€;0_3;5_10;2022;250_500
F;E59C9A8F-E5D7;Masters;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_premium;2017;non;non;60-80k€;_0;6_9;sup 15;2022;250_500
M;443620BD-E1DA;<High School;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_premium;1960;non;non;20-40k€;0-100K€;_0;0_5;2022;500_750
M;3FB62120-FCA5;z_High School;Private;Minivan;no;z_Highly Rural/ Rural;complet;dev_integral;1953;oui;oui;20-40k€;100-200K€;0_3;0_5;2022;250_500
M;0BAFBBE7-3C6D;PhD;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_integral;1950;non;oui;sup 100k€;200-400K€;_0;sup 15;2022;250_500
M;0A5C104E-60C5;PhD;Commercial;Pickup;no;z_Highly Rural/ Rural;complet;dev_integral;1955;oui;oui;;100-200K€;_0;sup 15;2022;250_500
F;3478E927-F304;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_premium;1993;non;non;60-80k€;200-400K€;3_6;0_5;2022;500_750
F;5E1D2503-EB76;Bachelors;Commercial;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;2019;non;oui;sup 100k€;200-400K€;3_6;0_5;2022;250_500
F;2E24C232-113F;Bachelors;Commercial;Minivan;no;Highly Urban/ Urban;complet;dev_integral;1940;non;non;20-40k€;100-200K€;_0;0_5;2022;250_500
M;0EA1D382-C73C;Bachelors;Private;Minivan;no;Highly Urban/ Urban;complet;dev_express;1968;non;non;sup 100k€;200-400K€;3_6;5_10;2022;250_500
F;32168B59-46D6;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1958;non;non;20-40k€;_0;0_3;5_10;2022;250_500
M;E7D7F330-D91C;z_High School;Private;z_SUV;no;z_Highly Rural/ Rural;complet;dev_premium;1997;non;oui;20-40k€;100-200K€;_0;0_5;2022;250_500
F;89C04D39-BB24;<High School;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_premium;1954;non;non;0-20k€;_0;_0;0_5;2022;250_500
F;189EB556-28D6;<High School;Private;Pickup;yes;Highly Urban/ Urban;complet;dev_express;1941;non;non;20-40k€;100-200K€;3_6;0_5;2022;250_500
F;31BA6F9A-4005;z_High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1997;non;non;40-60k€;100-200K€;0_3;;2022;250_500
M;1EE2104D-C334;Bachelors;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_express;2020;oui;oui;60-80k€;200-400K€;_0;5_10;2022;250_500
F;5A24BB93-2D36;PhD;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_express;1992;non;non;60-80k€;200-400K€;0_3;;2022;250_500
F;D109161E-05F9;Bachelors;Commercial;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1980;non;non;60-80k€;_0;0_3;5_10;2022;250_500
F;ACB7E005-2255;<High School;Private;z_SUV;no;z_Highly Rural/ Rural;complet;dev_integral;1956;non;oui;0-20k€;_0;0_3;5_10;2022;250_500
M;F4F38DAB-05B3;Masters;Private;Pickup;no;Highly Urban/ Urban;complet;dev_integral;1955;non;non;40-60k€;100-200K€;_0;sup 15;2022;250_500
F;91D377D0-8E42;PhD;Commercial;Panel Truck;no;Highly Urban/ Urban;complet;dev_premium;1986;non;non;sup 100k€;sup 400K€;_0;10_15;2022;500_750
F;4E0798AB-5C96;Masters;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1957;non;non;sup 100k€;sup 400K€;_0;10_15;2022;250_500
M;0227C015-9AC9;<High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1951;non;oui;20-40k€;_0;3_6;0_5;2022;250_500
F;A4815EC1-575B;PhD;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_integral;1954;non;non;80-100k€;200-400K€;0_3;5_10;2022;250_500
F;89032071-C2B2;Masters;Private;Minivan;no;Highly Urban/ Urban;complet;dev_express;1981;non;non;60-80k€;;_0;10_15;2022;250_500
M;133AAD2A-AB23;z_High School;Commercial;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1960;non;non;80-100k€;200-400K€;_0;5_10;2022;250_500
F;549A5BAF-7D09;Bachelors;Commercial;Pickup;yes;Highly Urban/ Urban;complet;dev_express;1940;non;non;0-20k€;_0;_0;10_15;2022;250_500
F;D78B2A91-5DC4;Masters;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_express;1945;oui;oui;60-80k€;;3_6;10_15;2022;250_500
M;7866B445-2B0C;z_High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;2013;non;oui;40-60k€;_0;0_3;0_5;2022;250_500
F;8A1B4726-3494;Bachelors;Private;Van;yes;Highly Urban/ Urban;complet;dev_integral;1937;non;non;;200-400K€;0_3;10_15;2022;250_500
M;3D0B6DBA-04C5;z_High School;Commercial;Pickup;no;Highly Urban/ Urban;complet;dev_premium;1990;oui;oui;60-80k€;100-200K€;_0;5_10;2022;250_500
M;FE53999E-C628;<High School;Commercial;Van;yes;z_Highly Rural/ Rural;complet;dev_integral;2015;non;oui;0-20k€;100-200K€;_0;0_5;2022;250_500
M;B1E97426-892C;z_High School;Private;Pickup;yes;Highly Urban/ Urban;complet;dev_integral;1987;non;non;20-40k€;100-200K€;_0;5_10;2022;250_500
F;505144AC-C302;Masters;Private;Minivan;no;Highly Urban/ Urban;complet;dev_integral;1993;non;non;80-100k€;200-400K€;0_3;10_15;2022;250_500
M;56C8EC4F-06D7;Masters;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;2006;non;non;sup 100k€;200-400K€;0_3;sup 15;2022;250_500
F;A9F15F1B-40F5;z_High School;Commercial;z_SUV;no;z_Highly Rural/ Rural;complet;dev_express;1987;non;non;40-60k€;_0;3_6;10_15;2022;250_500
M;6CB896BB-056D;Bachelors;Commercial;Minivan;no;Highly Urban/ Urban;complet;dev_premium;1969;non;non;40-60k€;100-200K€;0_3;5_10;2022;250_500
F;0CD040E6-0CFC;Masters;Private;Van;yes;Highly Urban/ Urban;complet;dev_express;1966;non;non;sup 100k€;200-400K€;_0;sup 15;2022;250_500
M;A9F4C039-8370;Masters;Private;Minivan;no;Highly Urban/ Urban;complet;dev_integral;2016;non;non;20-40k€;_0;_0;5_10;2022;250_500
M;F5FBA216-CA45;Bachelors;Commercial;Van;yes;z_Highly Rural/ Rural;complet;dev_premium;1963;non;oui;80-100k€;200-400K€;0_3;;2022;250_500
M;42A26FC3-5131;Masters;Private;Minivan;no;Highly Urban/ Urban;complet;dev_integral;1965;non;oui;;100-200K€;_0;sup 15;2022;250_500
F;CF5DFCC7-0E94;<High School;Private;Minivan;no;Highly Urban/ Urban;complet;dev_express;2002;oui;oui;20-40k€;;_0;0_5;2022;250_500
F;A7AE4267-89E8;z_High School;Private;Minivan;yes;z_Highly Rural/ Rural;complet;dev_premium;1937;non;non;0-20k€;_0;_0;0_5;2022;250_500
F;EB17D126-15F2;Bachelors;Commercial;Panel Truck;no;Highly Urban/ Urban;complet;dev_express;1954;non;non;40-60k€;;3_6;5_10;2022;250_500
F;5CE23191-30FB;Bachelors;Commercial;Panel Truck;no;Highly Urban/ Urban;complet;dev_integral;2014;non;non;60-80k€;200-400K€;3_6;5_10;2022;250_500
F;116EEFFD-2083;Bachelors;Commercial;Van;yes;Highly Urban/ Urban;complet;dev_express;1944;non;oui;80-100k€;200-400K€;0_3;5_10;2022;250_500
M;31145652-9C90;Masters;Commercial;Pickup;no;Highly Urban/ Urban;complet;dev_integral;2015;non;non;sup 100k€;_0;_0;sup 15;2022;250_500
M;A553B0E1-E3A2;Bachelors;Commercial;Van;no;Highly Urban/ Urban;complet;dev_express;2010;non;non;80-100k€;_0;6_9;5_10;2022;250_500
M;583C8E20-72B2;z_High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1947;non;non;0-20k€;100-200K€;3_6;;2022;250_500
M;099F08A1-D449;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1967;non;non;60-80k€;200-400K€;0_3;5_10;2022;250_500
M;92679658-3114;Bachelors;Private;z_SUV;no;z_Highly Rural/ Rural;complet;dev_premium;1973;non;non;80-100k€;200-400K€;0_3;0_5;2022;250_500
M;8FEA3D70-27A2;PhD;Commercial;Panel Truck;no;Highly Urban/ Urban;complet;dev_express;2009;non;non;sup 100k€;sup 400K€;3_6;10_15;2022;250_500
F;53FDE82B-75A7;Masters;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1953;non;non;60-80k€;200-400K€;_0;10_15;2022;250_500
F;3BE7F8DF-2690;Masters;Private;Minivan;no;Highly Urban/ Urban;complet;dev_premium;1965;non;non;sup 100k€;200-400K€;3_6;10_15;2022;250_500
F;D699AC50-555E;Bachelors;Commercial;Sports Car;no;Highly Urban/ Urban;complet;dev_integral;1988;non;non;40-60k€;100-200K€;3_6;10_15;2022;250_500
M;A78D4E72-4876;PhD;Commercial;Pickup;no;Highly Urban/ Urban;complet;dev_express;1955;non;non;sup 100k€;sup 400K€;0_3;10_15;2022;250_500
F;E6986BA8-2F0C;z_High School;Commercial;Van;no;Highly Urban/ Urban;complet;dev_integral;1981;non;non;80-100k€;200-400K€;0_3;5_10;2022;250_500
M;F2C56807-8FA1;z_High School;Private;Van;no;Highly Urban/ Urban;complet;dev_express;2001;non;non;60-80k€;200-400K€;_0;0_5;2022;250_500
M;F17409AE-C7B7;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1974;non;oui;40-60k€;_0;0_3;0_5;2022;250_500
F;831B28C5-E7AF;PhD;Commercial;Panel Truck;no;Highly Urban/ Urban;complet;dev_express;1938;non;non;80-100k€;200-400K€;3_6;5_10;2022;250_500
M;494A7344-C6C3;Bachelors;Commercial;Pickup;no;Highly Urban/ Urban;complet;dev_integral;1988;oui;oui;80-100k€;200-400K€;3_6;5_10;2022;250_500
M;71F6A591-6917;<High School;Commercial;Pickup;yes;Highly Urban/ Urban;complet;dev_express;1965;non;non;20-40k€;_0;3_6;0_5;2022;250_500
M;27BA787E-B3E6;Masters;Commercial;Panel Truck;no;Highly Urban/ Urban;complet;dev_integral;2000;non;non;sup 100k€;200-400K€;0_3;sup 15;2022;250_500
M;9D63F700-DF4C;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1951;non;non;0-20k€;_0;0_3;0_5;2022;250_500
M;65131496-52A5;Masters;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_integral;1966;non;non;60-80k€;100-200K€;_0;10_15;2022;250_500
M;79CDA1DA-23B6;PhD;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_premium;2018;non;non;0-20k€;_0;3_6;10_15;2022;500_750
F;3D34385B-3A96;z_High School;Private;Sports Car;no;z_Highly Rural/ Rural;complet;dev_integral;2018;non;non;60-80k€;_0;_0;10_15;2022;250_500
F;118794F1-D1EE;Bachelors;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_integral;1978;non;non;20-40k€;100-200K€;3_6;10_15;2022;250_500
F;21DB1816-EA2A;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1938;non;non;60-80k€;200-400K€;_0;0_5;2022;250_500
F;3CABC2E9-CAD1;<High School;Private;Pickup;yes;Highly Urban/ Urban;complet;dev_integral;2006;non;non;20-40k€;100-200K€;0_3;0_5;2022;250_500
F;0775433D-7339;z_High School;Commercial;Pickup;yes;z_Highly Rural/ Rural;complet;dev_integral;1983;non;non;20-40k€;100-200K€;_0;5_10;2022;250_500
M;5FDA9741-281A;Bachelors;Private;Minivan;no;Highly Urban/ Urban;complet;dev_integral;1952;non;non;;100-200K€;0_3;5_10;2022;250_500
F;8C08A142-45C2;Masters;Commercial;Panel Truck;yes;Highly Urban/ Urban;complet;dev_express;1947;non;non;sup 100k€;_0;_0;sup 15;2022;250_500
M;FD708181-37A6;Bachelors;Private;Pickup;no;Highly Urban/ Urban;complet;dev_premium;1964;non;oui;60-80k€;100-200K€;0_3;10_15;2022;500_750
M;BC0166A0-B140;z_High School;Private;Pickup;no;Highly Urban/ Urban;complet;dev_express;1966;non;non;40-60k€;100-200K€;3_6;5_10;2022;250_500
M;E2EA92C8-2DA6;z_High School;Private;Pickup;no;Highly Urban/ Urban;complet;dev_integral;2006;non;non;40-60k€;200-400K€;_0;5_10;2022;250_500
M;26F71027-753B;Masters;Private;Minivan;no;Highly Urban/ Urban;complet;dev_integral;2020;non;non;20-40k€;100-200K€;0_3;;2022;250_500
M;DA7DA4A3-8917;Bachelors;Commercial;Van;yes;Highly Urban/ Urban;complet;dev_integral;2017;non;non;60-80k€;200-400K€;_0;0_5;2022;250_500
F;0351B0FF-78FF;Masters;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;2001;non;oui;20-40k€;100-200K€;0_3;0_5;2022;250_500
F;1AE50DF7-1882;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1977;non;oui;80-100k€;200-400K€;_0;10_15;2022;250_500
F;34575F65-DDB9;z_High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_premium;2010;non;non;40-60k€;_0;3_6;;2022;500_750
F;19BA6E49-0C53;Bachelors;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_express;1934;oui;oui;sup 100k€;200-400K€;0_3;10_15;2022;250_500
F;4ED32CAB-38F1;Masters;Private;Pickup;yes;Highly Urban/ Urban;complet;dev_integral;1955;non;non;60-80k€;_0;0_3;5_10;2022;250_500
F;921B9BBE-5E42;Masters;Commercial;Panel Truck;no;Highly Urban/ Urban;complet;dev_express;2004;non;oui;40-60k€;100-200K€;0_3;sup 15;2022;250_500
M;ED643A49-21AC;z_High School;Commercial;Sports Car;no;z_Highly Rural/ Rural;complet;dev_integral;1979;non;non;20-40k€;100-200K€;_0;0_5;2022;250_500
F;98F415B0-89E5;z_High School;Private;Pickup;no;z_Highly Rural/ Rural;complet;dev_integral;2020;non;oui;80-100k€;_0;_0;5_10;2022;250_500
F;C81CBAAB-84EA;z_High School;Private;z_SUV;no;z_Highly Rural/ Rural;complet;dev_express;1973;non;oui;0-20k€;_0;_0;0_5;2022;250_500
F;5E37BC06-435E;<High School;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_integral;1954;oui;oui;0-20k€;_0;0_3;0_5;2022;250_500
F;171D01AC-6450;Bachelors;Private;Pickup;no;z_Highly Rural/ Rural;complet;dev_express;1943;non;non;40-60k€;200-400K€;_0;5_10;2022;250_500
F;93AC8258-EE44;PhD;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_express;1954;non;non;sup 100k€;_0;_0;10_15;2022;250_500
M;1DBD8E37-902B;Masters;Commercial;Pickup;yes;Highly Urban/ Urban;complet;dev_express;2013;non;non;sup 100k€;200-400K€;3_6;sup 15;2022;250_500
F;FE9145D3-01EE;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1951;non;non;0-20k€;0-100K€;_0;0_5;2022;250_500
F;2977EB69-98C1;Bachelors;Private;Minivan;no;Highly Urban/ Urban;complet;dev_premium;2005;non;non;60-80k€;200-400K€;_0;10_15;2022;250_500
F;61F5C7AD-31FE;PhD;Commercial;Panel Truck;yes;Highly Urban/ Urban;complet;dev_express;1971;non;non;sup 100k€;_0;3_6;sup 15;2022;250_500
F;5FEDAABA-7146;Bachelors;Commercial;Minivan;no;z_Highly Rural/ Rural;complet;dev_express;1976;non;non;0-20k€;;_0;10_15;2022;250_500
M;A1D9A7F7-E9C1;z_High School;Commercial;Sports Car;yes;Highly Urban/ Urban;complet;dev_express;1988;non;non;40-60k€;100-200K€;_0;5_10;2022;250_500
M;682221E4-6339;z_High School;Private;Minivan;no;z_Highly Rural/ Rural;complet;dev_premium;1985;non;non;20-40k€;100-200K€;_0;5_10;2022;250_500
M;8E145A0D-69D0;Bachelors;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_integral;1957;oui;oui;40-60k€;100-200K€;0_3;0_5;2022;250_500
F;8525A0F3-2F49;Masters;Private;Pickup;no;Highly Urban/ Urban;complet;dev_integral;1962;non;oui;sup 100k€;200-400K€;0_3;10_15;2022;250_500
M;302344B6-B8E9;<High School;Private;Minivan;no;Highly Urban/ Urban;complet;dev_integral;2003;non;non;0-20k€;_0;_0;0_5;2022;250_500
M;7C29BCC2-A89A;Masters;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_premium;1941;non;non;sup 100k€;;_0;10_15;2022;250_500
F;F089E3C5-B5A2;<High School;Commercial;Panel Truck;no;Highly Urban/ Urban;complet;dev_integral;2012;non;non;20-40k€;100-200K€;_0;5_10;2022;250_500
F;CB31F2A3-AD28;<High School;Private;z_SUV;no;z_Highly Rural/ Rural;complet;dev_express;1974;non;oui;0-20k€;0-100K€;_0;0_5;2022;250_500
M;66EEED5F-F14E;z_High School;Private;Pickup;yes;z_Highly Rural/ Rural;complet;dev_integral;1939;oui;oui;;_0;_0;5_10;2022;250_500
F;3763FE78-842A;PhD;Private;Van;yes;Highly Urban/ Urban;complet;dev_integral;1962;non;non;sup 100k€;200-400K€;_0;10_15;2022;250_500
F;73DB20E5-8FB9;<High School;Private;z_SUV;no;z_Highly Rural/ Rural;complet;dev_integral;1931;oui;oui;0-20k€;100-200K€;_0;0_5;2022;250_500
F;02A9FBBA-A6AE;z_High School;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_integral;1950;non;non;60-80k€;200-400K€;_0;5_10;2022;250_500
F;7A1A8900-C549;z_High School;Commercial;Pickup;no;z_Highly Rural/ Rural;complet;dev_express;1979;non;oui;0-20k€;0-100K€;6_9;0_5;2022;250_500
F;1368D916-6347;z_High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1968;non;oui;20-40k€;_0;3_6;0_5;2022;250_500
M;B295021C-95B3;z_High School;Commercial;Minivan;no;Highly Urban/ Urban;complet;dev_express;2018;non;non;80-100k€;_0;0_3;0_5;2022;250_500
F;CB5E6C82-1100;Masters;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_integral;1951;non;non;80-100k€;200-400K€;0_3;sup 15;2022;250_500
F;B2DCCC37-18DB;Bachelors;Commercial;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1962;non;non;20-40k€;_0;0_3;10_15;2022;250_500
F;5340C219-79A0;z_High School;Private;Minivan;no;Highly Urban/ Urban;complet;dev_integral;1970;non;non;40-60k€;_0;0_3;0_5;2022;250_500
F;51E87E2F-9136;z_High School;Private;z_SUV;no;z_Highly Rural/ Rural;complet;dev_premium;1963;non;non;20-40k€;100-200K€;0_3;5_10;2022;250_500
F;A36C8961-F592;Bachelors;Private;Pickup;yes;Highly Urban/ Urban;complet;dev_vip;1973;non;non;60-80k€;200-400K€;0_3;5_10;2022;500_750
M;9B56ABD1-D4EC;z_High School;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_express;1942;oui;oui;20-40k€;100-200K€;_0;0_5;2022;250_500
M;A00EA603-79A6;Bachelors;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_express;1988;non;non;20-40k€;100-200K€;_0;0_5;2022;250_500
